Original SMILES,Reconstructed SMILES
NC1=NC(=O)C2=C(N=CN2)N1,NC1=NC(=O)C2=C(N=CN2)N1
NC1=NC2=C(N=CN2C2OC(CO)C(O)C2O)C(=O)N1,NC1=NC2=C(N=CN2C2OC(CO)C(O)C2O)C(=O)N1
O=C(O)C=CC(=O)O,O=C(O)C=CC(=O)O
CC(CCC(O)=NCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,CC(CCC(O)=NCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C
O=C(O)C(O)CO,O=C(O)C(O)CO
O=CO,O=CO
CC12CCC3C4=CC=C(O)C=C4CCC3C1CCC2=O,CC12CCC3C4=CC=C(O)C=C4CCC3C1CCC2=O
NC(CCC(=O)O)C(=O)O,NC(CCC(=O)O)C(=O)O
NCCO,NCCO
O=C1OC(CO)C(O)C(O)C1O,O=C1OC(CO)C(O)C(O)C1O
CC12CCC3C4=CC=C(O)C=C4CCC3C1CCC2O,CC12CCC3C4=CC=C(O)C=C4CCC3C1CCC2O
O=C(O)C1=CC(O)=CC=C1O,O=C(O)C1=CC(O)=CC=C1O
CC12CCC3C4=CC=C(O)C=C4CCC3C1CC(O)C2O,CC12CCC3C4=CC=C(O)C=C4CCC3C1CC(O)C2O
OC1=NC=NC2=C1NC=N2,OC1=NC=NC2=C1NC=N2
NC(CC1=CC=C(O)C=C1)C(=O)O,NC(CC1=CC=C(O)C=C1)C(=O)O
NC(CC1=CC=CC=C1)C(=O)O,NC(CC1=CC=CC=C1)C(=O)O
CC(N)C(=O)O,CC(N)C(=O)O
O=C(O)C1CCCN1,O=C(O)C1CCCN1
OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O
CC(O)C(N)C(=O)O,CC(O)C(N)C(=O)O
NC(=O)CC(N)C(=O)O,NC(=O)CC(N)C(=O)O
OCC1OC(O)C(O)C(O)C1O,OCC1OC(O)C(O)C(O)C1O
O=C1NC=NC2=C1N=CN2C1OC(COP(=O)(O)O)C(O)C1O,O=C1NC=NC2=C1N=CN2C1OC(COP(=O)(O)O)C(O)C1O
O=C(O)C=CC(=O)O,O=C(O)C=CC(=O)O
NC(CC1=CNC=N1)C(=O)O,NC(CC1=CNC=N1)C(=O)O
NCCCCC(N)C(=O)O,NCCCCC(N)C(=O)O
NC(CO)C(=O)O,NC(CO)C(=O)O
O=P(O)(O)OP(=O)(O)OP(=O)(O)OCC1OC(N2C=NC3=C(O)N=CN=C32)C(O)C1O,O=P(O)(O)OP(=O)(O)OP(=O)(O)OCC1OC(N2C=NC3=C(O)N=CN=C32)C(O)C1O
CC(O)C(=O)O,CC(O)C(=O)O
NC(CC(=O)O)C(=O)O,NC(CC(=O)O)C(=O)O
O=C(O)CC(C(=O)O)C(O)C(=O)O,O=C(O)CC(C(=O)O)C(O)C(=O)O
OCC1OC(N2C=NC3=C(O)N=CN=C32)C(O)C1O,OCC1OC(N2C=NC3=C(O)N=CN=C32)C(O)C1O
O=C(O)CC1=CNC2=CC=CC=C12,O=C(O)CC1=CNC2=CC=CC=C12
CC(=O)OC(CC(=O)O)CN(C)(C)C,CC(=O)OC(CC(=O)O)CN(C)(C)C
CC(C(=O)O)C(=O)O,CC(C(=O)O)C(=O)O
O=C(O)C(=O)CC1=CC=CC=C1,O=C(O)C(=O)CC1=CC=CC=C1
CC(=O)NCCCCC(N)C(=O)O,CC(=O)NCCCCC(N)C(=O)O
CCCCCCCCC=CCCCCCCCC(=O)O,CCCCCCCCC=CCCCCCCCC(=O)O
O=C(O)CCC(=O)C(=O)O,O=C(O)CCC(=O)C(=O)O
O=C(O)CC1=CC=CC=C1,O=C(O)CC1=CC=CC=C1
CC(C)(CO)C(O)C(=O)NCCC(=O)O,CC(C)(CO)C(O)C(=O)NCCC(=O)O
OC1C(O)C(O)C(O)C(O)C1O,OC1C(O)C(O)C(O)C(O)C1O
NCCCC(N)C(=O)O,NCCCC(N)C(=O)O
CC(=O)NC1C(O)OC(CO)C(O)C1O,CC(=O)NC1C(O)OC(CO)C(O)C1O
CCCCCCCCCCCCCCCC(=O)O,CCCCCCCCCCCCCCCC(=O)O
CCCCCCCCCCCCCCCC(=O)OC(CC(=O)O)CN(C)(C)C,CCCCCCCCCCCCCCCC(=O)OC(CC(=O)O)CN(C)(C)C
NCCOP(=O)(O)O,NCCOP(=O)(O)O
O=C(O)CCCC(=O)C(=O)O,O=C(O)CCCC(=O)C(=O)O
O=C1C=C(C(=O)O)NC(=O)N1,O=C1C=C(C(=O)O)NC(=O)N1
CC(O)(CCO)CC(=O)O,CC(O)(CCO)CC(=O)O
OC1=CC=CC=C1,OC1=CC=CC=C1
CC(=O)NC1C(O)CC(O)(C(=O)O)OC1C(O)C(O)CO,CC(=O)NC1C(O)CC(O)(C(=O)O)OC1C(O)C(O)CO
O=C(O)C1=CC=CN=C1C(=O)O,O=C(O)C1=CC=CN=C1C(=O)O
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12
CCC(=O)O,CCC(=O)O
CC(O)C(=O)C1=NC2=C(NC1)NC(N)=NC2=O,CC(O)C(=O)C1=NC2=C(NC1)NC(N)=NC2=O
CC1=NC=C(CO)C(CO)=C1O,CC1=NC=C(CO)C(CO)=C1O
O=S(O)O,O=S(O)O
CC(=O)C(=O)O,CC(=O)C(=O)O
CC1=CC2=C(C=C1C)N(CC(O)C(O)C(O)CO)C1=NC(=O)NC(=O)C1=N2,CC1=CC2=C(C=C1C)N(CC(O)C(O)C(O)CO)C1=NC(=O)NC(=O)C1=N2
NCC1=C(CC(=O)O)C(CCC(=O)O)=CN1,NCC1=C(CC(=O)O)C(CCC(=O)O)=CN1
C1CCOC1,C1CCOC1
OCC(O)C(O)C(O)C(O)CO,OCC(O)C(O)C(O)C(O)CO
NC(CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(=O)O,NC(CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(=O)O
NCCS(=O)(=O)O,NCCS(=O)(=O)O
CCCCCCCCCCCCCC=CC(O)C(N)CO,CCCCCCCCCCCCCC=CC(O)C(N)CO
O=C(O)CCC(=O)O,O=C(O)CCC(=O)O
CC(C)=CCCC(C)=CCCC(C)=CCCC=C(C)CCC=C(C)CCC=C(C)C,CC(C)=CCCC(C)=CCCC(C)=CCCC=C(C)CCC=C(C)CCC=C(C)C
OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O
NCCC1=CNC2=CC=C(O)C=C12,NCCC1=CNC2=CC=C(O)C=C12
CC1=CNC(=O)NC1=O,CC1=CNC(=O)NC1=O
C=C(OP(=O)(O)O)C(=O)O,C=C(OP(=O)(O)O)C(=O)O
NC(CC1=CC(I)=C(OC2=CC=C(O)C(I)=C2)C(I)=C1)C(=O)O,NC(CC1=CC(I)=C(OC2=CC=C(O)C(I)=C2)C(I)=C1)C(=O)O
O=C1CCC(C(=O)O)N1,O=C1CCC(C(=O)O)N1
CC12CC(O)C3C(CCC4CC(O)CCC43C)C1CCC2C(=O)CO,CC12CC(O)C3C(CCC4CC(O)CCC43C)C1CCC2C(=O)CO
CNCC(=O)O,CNCC(=O)O
NC(COP(=O)(O)O)C(=O)O,NC(COP(=O)(O)O)C(=O)O
CC1=CN(C2CC(O)C(CO)O2)C(=O)NC1=O,CC1=CN(C2CC(O)C(CO)O2)C(=O)NC1=O
NC(CCCCNC(CCC(=O)O)C(=O)O)C(=O)O,NC(CCCCNC(CCC(=O)O)C(=O)O)C(=O)O
O=P(O)(O)OCC1OC(OP(=O)(O)OP(=O)(O)O)C(O)C1O,O=P(O)(O)OCC1OC(OP(=O)(O)OP(=O)(O)O)C(O)C1O
O=C1C=CN(C2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C2O)C(=O)N1,O=C1C=CN(C2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C2O)C(=O)N1
O=C1C=CN(C2OC(COP(=O)(O)OP(=O)(O)OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C(=O)N1,O=C1C=CN(C2OC(COP(=O)(O)OP(=O)(O)OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C(=O)N1
O=C1C=CN(C2OC(COP(=O)(O)O)C(O)C2O)C(=O)N1,O=C1C=CN(C2OC(COP(=O)(O)O)C(O)C2O)C(=O)N1
COC1=CC(C(O)C(=O)O)=CC=C1O,COC1=CC(C(O)C(=O)O)=CC=C1O
O=C1NC(=O)C2=C(N=CN2)N1,O=C1NC(=O)C2=C(N=CN2)N1
NC(N)=O,NC(N)=O
O=C1C=CN(C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2O)C(=O)N1,O=C1C=CN(C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2O)C(=O)N1
O=C1C=CN(C2OC(CO)C(O)C2O)C(=O)N1,O=C1C=CN(C2OC(CO)C(O)C2O)C(=O)N1
OCC1OC(N2C=NC3=C(O)N=C(O)N=C32)C(O)C1O,OCC1OC(N2C=NC3=C(O)N=C(O)N=C32)C(O)C1O
O=C1C=CNC(=O)N1,O=C1C=CNC(=O)N1
O=C(O)C=CC1=CNC=N1,O=C(O)C=CC1=CNC=N1
O=C1C=CN(C2OC(COP(=O)(O)OP(=O)(O)OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C(=O)N1,O=C1C=CN(C2OC(COP(=O)(O)OP(=O)(O)OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C(=O)N1
NCCC1=CNC2=CC=CC=C12,NCCC1=CNC2=CC=CC=C12
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CCO,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CCO
NCCC1=CC=C(O)C=C1,NCCC1=CC=C(O)C=C1
CC(CCC(=O)O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,CC(CCC(=O)O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C
COC(=O)CC(C)=O,COC(=O)CC(C)=O
CCC(C)C(O)C(=O)O,CCC(C)C(O)C(=O)O
OCC(O)C1=CC=C(O)C(O)=C1,OCC(O)C1=CC=C(O)C(O)=C1
O=C(O)CCCC(O)C(=O)O,O=C(O)CCCC(O)C(=O)O
O=C(O)CCCCC(O)CC(=O)O,O=C(O)CCCCC(O)CC(=O)O
CC(CCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(=O)C12C,CC(CCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(=O)C12C
CCC(C(=O)O)C1=CC=CC=C1,CCC(C(=O)O)C1=CC=CC=C1
CC12CCC3C4=CC(O)=C(O)C=C4CCC3C1CCC2O,CC12CCC3C4=CC(O)=C(O)C=C4CCC3C1CCC2O
CCC(C)C(=O)NCC(=O)O,CCC(C)C(=O)NCC(=O)O
O=C(O)C=CCCCCC(=O)O,O=C(O)C=CCCCCC(=O)O
CC12CCC3C4=CC(O)=C(O)C=C4CCC3C1CCC2=O,CC12CCC3C4=CC(O)=C(O)C=C4CCC3C1CCC2=O
O=C(O)CCC(O)CC(=O)O,O=C(O)CCC(O)CC(=O)O
CC12CCC3C4=CC=C(O)C=C4CCC3C1CC(O)C2O,CC12CCC3C4=CC=C(O)C=C4CCC3C1CC(O)C2O
O=C(O)CCCCCCC(O)CC(=O)O,O=C(O)CCCCCCC(O)CC(=O)O
CC(O)C(C)C(=O)O,CC(O)C(C)C(=O)O
CC(O)C(C)C(=O)O,CC(O)C(C)C(=O)O
CC(O)(CC(=O)O)CC(=O)O,CC(O)(CC(=O)O)CC(=O)O
O=C(O)C(O)CCO,O=C(O)C(O)CCO
O=C(O)C(CO)OP(=O)(O)O,O=C(O)C(CO)OP(=O)(O)O
CC(=O)C1(O)CCC2C3CC=C4CC(O)CCC4(C)C3CCC21C,CC(=O)C1(O)CCC2C3CC=C4CC(O)CCC4(C)C3CCC21C
CC(CCC(=O)O)C1CCC2C3C(O)C(O)C4CC(O)CCC4(C)C3CCC12C,CC(CCC(=O)O)C1CCC2C3C(O)C(O)C4CC(O)CCC4(C)C3CCC12C
CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O,CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O
NC(CP(=O)(O)O)C(=O)O,NC(CP(=O)(O)O)C(=O)O
CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C
O=C(O)CCC1=CC=CC(O)=C1,O=C(O)CCC1=CC=CC(O)=C1
CCC(C)C(=O)OC(CC(=O)O)CN(C)(C)C,CCC(C)C(=O)OC(CC(=O)O)CN(C)(C)C
CCCCCCCCCC(O)CC(=O)O,CCCCCCCCCC(O)CC(=O)O
CC(CCC(=O)O)C1CCC2C3C(=O)CC4CC(O)CCC4(C)C3CC(O)C12C,CC(CCC(=O)O)C1CCC2C3C(=O)CC4CC(O)CCC4(C)C3CC(O)C12C
CCCCCC=CC(=O)O,CCCCCC=CC(=O)O
O=C(O)CC=CCC(=O)O,O=C(O)CC=CCC(=O)O
CCC(CO)C(=O)O,CCC(CO)C(=O)O
CC(C)C(O)(CC(=O)O)C(=O)O,CC(C)C(O)(CC(=O)O)C(=O)O
NC1=NC(O)=NC2=C1NC=N2,NC1=NC(O)=NC2=C1NC=N2
COC1=CC2=C(C=C1O)CCC1C2CCC2(C)C(O)CCC12,COC1=CC2=C(C=C1O)CCC1C2CCC2(C)C(O)CCC12
CC(C)C(O)C(=O)O,CC(C)C(O)C(=O)O
CCC(=O)C(C)C(=O)O,CCC(=O)C(C)C(=O)O
CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C
CC(CCC(=O)O)C(=O)O,CC(CCC(=O)O)C(=O)O
O=C(O)CCC1=CC=C(O)C(O)=C1,O=C(O)CCC1=CC=C(O)C(O)=C1
CC(O)(CC(=O)O)C(=O)O,CC(O)(CC(=O)O)C(=O)O
O=C(O)CC(O)CC(=O)O,O=C(O)CC(O)CC(=O)O
CC12CCC3C4=CC=C(O)C=C4CCC3C1CCC2O,CC12CCC3C4=CC=C(O)C=C4CCC3C1CCC2O
COC1=CC=C(CC(=O)O)C=C1OC,COC1=CC=C(CC(=O)O)C=C1OC
O=C(O)CNC(=O)C1=CC=CO1,O=C(O)CNC(=O)C1=CC=CO1
O=C(O)CC1=CC=CC(O)=C1,O=C(O)CC1=CC=CC(O)=C1
CC(O)CC(=O)O,CC(O)CC(=O)O
O=C(O)C1=COC=C1,O=C(O)C1=COC=C1
CC(=O)NC(CCCCN)C(=O)O,CC(=O)NC(CCCCN)C(=O)O
NCC(O)CCC(N)C(=O)O,NCC(O)CCC(N)C(=O)O
CCC(N)C(=O)O,CCC(N)C(=O)O
CC1CCCC(=O)O1,CC1CCCC(=O)O1
NC(CCSCC(N)C(=O)O)C(=O)O,NC(CCSCC(N)C(=O)O)C(=O)O
CC(C)=CC(=O)NCC(=O)O,CC(C)=CC(=O)NCC(=O)O
NC(=O)NC1NC(=O)NC1=O,NC(=O)NC1NC(=O)NC1=O
CC1=CNC2=CC=CC=C12,CC1=CNC2=CC=CC=C12
CC(CCC(=O)O)C1CCC2C3C(=O)CC4CC(O)CCC4(C)C3CCC12C,CC(CCC(=O)O)C1CCC2C3C(=O)CC4CC(O)CCC4(C)C3CCC12C
CC(O)C(O)C1=CNC2=NC(N)=NC(=O)C2=N1,CC(O)C(O)C1=CNC2=NC(N)=NC(=O)C2=N1
O=C1NC=C(CO)C(=O)N1,O=C1NC=C(CO)C(=O)N1
NC(CC1=CNC2=CC=C(O)C=C12)C(=O)O,NC(CC1=CNC2=CC=C(O)C=C12)C(=O)O
CN(C)C1=NC=NC2=C1NC=N2,CN(C)C1=NC=NC2=C1NC=N2
CCC(C)=O,CCC(C)=O
CN1C=NC=C1CC(N)C(=O)O,CN1C=NC=C1CC(N)C(=O)O
CCCCCCCC(=O)O,CCCCCCCC(=O)O
COC1=CC(C(=O)O)=CC=C1O,COC1=CC(C(=O)O)=CC=C1O
CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O,CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O
CCC(C)C(=O)C(=O)O,CCC(C)C(=O)C(=O)O
Cl,Cl
CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2O,CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2O
O=C(O)C1=CC=C(O)C=C1,O=C(O)C1=CC=C(O)C=C1
CC(C)CCCC(C)C1CCC2C3C(=O)C=C4CC(O)CCC4(C)C3CCC12C,CC(C)CCCC(C)C1CCC2C3C(=O)C=C4CC(O)CCC4(C)C3CCC12C
CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C
OCC(O)C(O)C(O)CO,OCC(O)C(O)C(O)CO
CC(C)=CC(=O)O,CC(C)=CC(=O)O
NC(CCCC(=O)O)C(=O)O,NC(CCCC(=O)O)C(=O)O
CCCCCCCCCC(=O)O,CCCCCCCCCC(=O)O
CC(=O)NC(CC1=CC=CC=C1)C(=O)O,CC(=O)NC(CC1=CC=CC=C1)C(=O)O
N=C(N)NCCCC(N)C(=O)O,N=C(N)NCCCC(N)C(=O)O
CC(=CC(=O)O)CC(=O)O,CC(=CC(=O)O)CC(=O)O
O=C1CC(C(=O)O)NC(=O)N1,O=C1CC(C(=O)O)NC(=O)N1
CCCCCCC=CCCCC(=O)O,CCCCCCC=CCCCC(=O)O
CCC(O)CC(=O)O,CCC(O)CC(=O)O
CC(=O)NCC(=O)O,CC(=O)NCC(=O)O
CCCCCC(=O)O,CCCCCC(=O)O
O=C(O)CC(NC1=NC=NC2=C1N=CN2C1OC(COP(=O)(O)O)C(O)C1O)C(=O)O,O=C(O)CC(NC1=NC=NC2=C1N=CN2C1OC(COP(=O)(O)O)C(O)C1O)C(=O)O
NC1=NC=NC2=C1N=CN2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O,NC1=NC=NC2=C1N=CN2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O
O=C(O)CCCC1=CC=CC=C1,O=C(O)CCCC1=CC=CC=C1
CC1=C(CO)C(=O)NC(=O)N1,CC1=C(CO)C(=O)NC(=O)N1
CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O,CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O
O=C1CCCO1,O=C1CCCO1
CC(CCC(=O)O)CC(=O)O,CC(CCC(=O)O)CC(=O)O
CCC(C)C(N)C(=O)O,CCC(C)C(N)C(=O)O
CN1CC(=O)NC1=N,CN1CC(=O)NC1=N
O=C(O)C(O)CC1=CC=CC=C1,O=C(O)C(O)CC1=CC=CC=C1
O=C(O)C(O)C(O)C(O)C(O)CO,O=C(O)C(O)C(O)C(O)C(O)CO
O=C(O)C=CC1=CC=CC=C1,O=C(O)C=CC1=CC=CC=C1
OCC(O)C(O)C(O)CO,OCC(O)C(O)C(O)CO
CCCCCCCCC=CCCCCCCCC(=O)O,CCCCCCCCC=CCCCCCCCC(=O)O
NC(CS)C(=O)O,NC(CS)C(=O)O
NC(CCSSCCC(N)C(=O)O)C(=O)O,NC(CCSSCCC(N)C(=O)O)C(=O)O
CCOC(=O)CC(=O)O,CCOC(=O)CC(=O)O
CC(C)CCCC(C)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C,CC(C)CCCC(C)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C
NC(CC1=CC(I)=C(OC2=CC=C(O)C=C2)C(I)=C1)C(=O)O,NC(CC1=CC(I)=C(OC2=CC=C(O)C=C2)C(I)=C1)C(=O)O
NCC(CCC(N)C(=O)O)OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O,NCC(CCC(N)C(=O)O)OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O
O=C(O)CCCC(=O)NCC(=O)O,O=C(O)CCCC(=O)NCC(=O)O
NC1C(O)OC(COS(=O)(=O)O)C(O)C1O,NC1C(O)OC(COS(=O)(=O)O)C(O)C1O
